len,count,word,sentiment,topic
2,199,回天,1,
2,198,一定,3,
2,198,娱乐,2,2
2,198,毛利,2,1
2,197,有所,3,
2,197,远望,3,4
2,196,水电,2,2
2,195,审查,1,4
2,195,扎堆,2,
2,195,归母,3,1
2,194,航锦,2,
2,194,方向,2,
2,193,塔牌,2,
2,193,比特,2,
2,191,巨大,2,1
2,191,财报,2,1
1,190,德,2,
1,190,很,2,
1,190,谷,2,
2,189,电梯,2,
2,189,华映,2,
1,188,款,2,1
2,188,意向,2,
3,188,北斗星,2,
2,187,龙盛,2,
2,186,服装,2,
1,186,屏,2,
2,186,国企,2,3
2,185,措施,3,4
2,185,鸿利,2,
2,185,融钰,2,
2,184,中通,2,
2,184,将成,3,
1,184,海,2,
2,183,力争,3,1
2,183,东山,3,1
1,183,抢,3,1
2,182,大举,3,1
2,182,南北,2,
2,182,新低,2,
3,181,欣旺达,2,
2,181,转债,2,3
2,180,效应,2,1
1,180,矿,2,2
2,180,海翔,2,
2,179,推荐,3,1
2,179,达安,2,
2,179,重磅,3,2
2,178,申报,3,2
2,178,期间,2,1
2,177,严重,1,1
2,177,华峰,2,
2,177,三个,2,1
2,176,分歧,1,4
2,175,齐心,3,4
2,175,走势,2,1
2,174,数量,2,1
2,174,尾盘,2,2
2,173,重机,2,2
1,173,港,2,
2,173,陈述,2,
2,172,山鹰,2,
2,172,动漫,2,1
2,171,已有,2,
2,171,造成,1,1
2,171,天润,2,
2,170,一度,2,1
2,170,长电,2,
2,170,疯狂,1,
3,169,黑天鹅,1,1
2,169,创业,3,1
2,169,焦化,2,2
2,168,亚星,2,
2,168,发起,3,1
2,168,日海,2,
2,168,转换,2,1
2,167,静待,1,1
3,167,创始人,2,4
2,167,巨星,2,
2,166,恒星,2,
2,166,中顺,2,
2,166,思达,2,
2,165,再创,3,1
2,165,共计,2,1
1,165,捧,3,
2,164,盐酸,2,2
2,164,华能,2,
4,164,西藏药业,3,
2,164,有关,2,
2,163,益佰,2,
2,163,抱团,3,4
2,163,台海,2,
2,163,得润,2,
2,162,梦洁,2,
2,162,孚日,2,
2,162,认定,2,1
2,161,审计,1,1
2,160,飙升,3,1
2,160,传动,2,
2,160,蓝多,2,
2,160,增厚,3,1
2,159,浮亏,1,1
2,159,罚款,1,1
2,159,烟台,2,
2,159,采取,1,
2,158,其他,2,
2,158,逻辑,2,
2,158,难题,1,2
2,158,京新,2,
1,158,桩,2,
2,157,神开,2,
2,157,批文,1,
2,157,福特,2,
2,156,非洲,2,
3,156,惠而浦,2,
2,156,德展,2,
2,156,运行,2,1
2,156,创板,2,3
4,155,四川双马,2,
2,155,消息,2,1
2,155,红利,3,3
2,155,频频,3,1
1,154,盘,2,3
3,154,万家乐,2,
4,153,流动资金,3,1
1,153,把,2,
1,153,项,2,1
1,152,赢,3,1
2,152,杭氧,2,
4,152,南宁糖业,2,
2,152,通用,2,
2,152,恒邦,2,
2,151,处理,1,4
3,151,新一轮,3,3
2,151,协同,3,1
2,151,猪瘟,1,1
2,150,四方,2,
2,150,一家,3,
4,150,中炬高新,2,
2,150,一线,3,2
2,22470,公司,2,4.0
1,14335,亿,2,3.0
2,12212,科技,2,
2,10111,控股,2,3.0
3,7910,子公司,2,4.0
3,7632,上半年,2,
1,6708,大,2,
2,5583,茅台,2,
4,5362,有限公司,2,4.0
1,5042,为,2,
2,4796,市场,2,1.0
3,4577,董事长,2,4.0
1,4351,中,2,
2,4268,涨停,3,1.0
2,4046,预计,2,
1,3975,元,2,
1,3753,已,2,
2,3683,回购,2,4.0
2,3494,发展,3,4.0
2,3375,上海,2,
2,3316,行业,2,
2,3136,交易,2,3.0
2,2945,企业,2,
1,2881,及,2,
2,2757,关于,2,
2,2684,持续,2,
2,2570,不超,2,
2,2531,停牌,1,3.0
4,2408,上市公司,2,
2,2382,下降,1,
1,2345,约,2,
1,2323,未,1,
2,2299,协议,2,
2,2230,电力,2,
1,2172,后,2,
2,2084,年报,2,4.0
2,2048,并购,2,4.0
2,2029,转型,3,4.0
1,1964,两,2,
1,1946,派,2,
2,1908,健康,3,
1,1889,可,2,
2,1850,东方,2,
2,1775,部分,2,
2,1727,环保,3,2.0
2,1687,订单,2,1.0
2,1649,领域,2,
2,1611,食品,2,
2,1595,格力,2,
2,1565,研发,3,2.0
1,1522,占,2,
2,1511,新材,2,2.0
2,1476,激励,3,4.0
2,1462,辞职,1,4.0
2,1431,销量,2,1.0
2,1423,信息,2,
2,1387,拟定,2,4.0
2,1368,推进,3,4.0
2,1346,相关,2,
1,1337,转,2,
2,1331,受益,3,
2,1314,材料,2,
2,1281,大宗,2,
2,1271,啤酒,2,
2,1249,融资,2,3.0
1,1232,只,2,
4,1218,资产重组,2,3.0
2,1210,调整,2,
2,1186,光伏,2,2.0
2,1167,季报,2,1.0
1,1156,金,2,
2,1133,稀土,2,
2,1126,全资,2,4.0
2,1101,采购,2,4.0
2,1077,评级,2,4.0
2,1058,伊利,2,
2,1045,江苏,2,
2,1031,平台,2,
2,1006,参股,2,3.0
3,998,京东方,2,
2,986,估值,2,3.0
1,981,深,2,
2,973,预亏,1,1.0
2,969,获批,2,4.0
2,962,智慧,3,
2,958,新高,3,1.0
1,945,受,2,
2,928,锂业,2,2.0
2,922,突破,3,1.0
4,921,扭亏为盈,3,1.0
2,906,资本,2,3.0
2,903,启动,2,4.0
2,892,拓展,3,
2,883,方大,2,
2,865,全年,2,1.0
2,856,举牌,2,3.0
2,849,关联,2,4.0
2,844,增加,3,
1,838,要,2,
2,826,乳业,2,1.0
2,822,斥资,2,
2,814,增速,2,1.0
2,812,实际,2,
2,806,海南,2,
2,802,助力,3,1.0
4,798,长城汽车,2,
2,790,深圳,2,
2,786,银行,2,3.0
2,779,问题,1,
1,775,报,2,
2,770,历史,2,
2,765,游资,2,3.0
3,757,创业板,2,3.0
1,754,下,2,
2,752,存在,2,
2,746,投建,2,4.0
2,741,走强,3,1.0
2,736,客户,2,1.0
3,731,控制权,2,4.0
3,723,生产线,2,4.0
2,718,泸州,2,
2,714,机电,2,
1,710,做,2,
1,701,系,2,
2,693,成立,2,4.0
1,691,从,2,
2,683,光明,2,
4,680,科技股份,2,3.0
2,674,耗资,2,4.0
2,669,东阿,2,
1,664,车,2,
2,659,混改,2,4.0
2,656,债务,1,4.0
2,653,高科,2,
4,647,云南白药,2,
1,645,起,2,
2,642,信披,2,4.0
2,631,利好,3,4.0
3,626,贝因美,2,
2,625,停产,1,4.0
2,617,成本,2,3.0
1,613,谁,2,
2,609,广东,2,
1,607,最,2,
1,604,原,2,
1,598,跌,1,1.0
2,594,电机,2,
3,590,毛利率,2,1.0
1,588,所,2,
2,584,洋河,2,
2,579,新疆,2,
2,576,注册,2,4.0
1,570,四,2,
2,569,事件,2,
2,564,个股,2,3.0
1,562,电,2,
1,558,二,2,
3,554,中小板,2,3.0
2,552,模式,2,
2,546,提速,3,
2,544,沃森,2,
2,539,三成,2,
3,538,国资委,2,3.0
2,536,千亿,2,
2,529,强势,3,1.0
3,523,机器人,2,2.0
2,521,两年,2,
2,518,压力,2,4.0
2,517,拐点,2,1.0
3,515,经销商,2,1.0
1,512,预,2,
2,510,系统,2,2.0
2,506,以上,2,
3,503,雅戈尔,2,
2,502,钢构,2,2.0
2,500,董秘,2,4.0
2,498,所持,2,3.0
2,497,是否,2,
2,494,退市,1,4.0
2,492,全国,2,
2,488,扣非,2,1.0
2,486,盘中,2,3.0
2,485,框架,2,
1,480,却,2,
1,477,吗,2,
2,476,持有,2,3.0
2,475,扩大,3,4.0
2,471,更名,2,4.0
1,470,远,2,
2,469,如何,2,
2,467,路演,2,3.0
2,465,剥离,2,4.0
2,464,逐步,2,
2,461,受理,2,4.0
2,460,出资,2,3.0
2,457,供货,2,1.0
2,454,逆势,2,3.0
3,453,亿美元,2,
2,448,工厂,2,
3,444,增募资,2,3.0
3,443,半年度,2,1.0
1,441,双,2,
2,437,名单,2,
2,430,长安,2,
2,427,处罚,1,4.0
2,425,违法,1,4.0
1,424,而,2,
1,422,亏,1,1.0
2,419,预降,2,1.0
2,418,中兴,2,
2,416,批复,2,4.0
2,414,最新,2,
2,412,汤臣,2,
2,409,提示,2,
1,406,佳,2,
1,403,特,2,
2,402,厦门,2,
2,401,火腿,2,
2,398,回升,3,
2,397,东北,2,
2,396,总裁,2,4.0
2,395,尚未,2,
2,394,合并,2,4.0
2,392,八成,2,
2,391,为何,2,
2,388,跨界,2,4.0
1,387,看,2,
2,385,亮相,3,2.0
2,384,通威,2,
1,381,仅,2,
2,381,东风,2,
2,380,上升,3,1.0
2,378,划转,2,4.0
2,376,配股,2,3.0
2,375,燃气,2,
2,374,准备,2,
2,372,正常,3,
2,371,长虹,2,
2,370,康佳,2,
2,369,大华,2,
2,367,联网,2,2.0
2,365,重要,2,
2,363,以岭,2,
1,363,送,2,
2,361,信心,3,
2,360,不会,2,
3,358,四季度,2,
2,357,批准,2,4.0
3,356,康恩贝,2,
1,355,门,1,
2,353,低迷,1,1.0
2,353,增近,3,
1,351,名,2,
2,350,轮胎,2,
2,350,提高,3,1.0
2,348,年产,2,1.0
1,346,走,2,
1,344,强,3,
2,342,承压,2,4.0
3,342,坚瑞沃,2,
3,340,交易日,2,3.0
1,338,发,2,
2,338,炭素,2,
2,337,苹果,2,
2,336,国轩,2,
2,335,中药,2,
2,334,确定,3,
2,333,江铃,2,
3,331,天然气,2,
2,330,东南,2,
2,328,必康,2,
2,327,电站,2,
2,326,高送,2,
2,325,产生,2,
3,323,国际化,3,4.0
2,323,预盈,3,1.0
2,321,一个,2,
2,321,战投,2,
3,320,天士力,2,
2,319,新冠,2,
2,318,专利,3,2.0
2,317,翻番,3,1.0
2,316,不断,2,
2,314,钨业,2,
2,313,三聚,2,
1,312,设,2,
2,311,修正,2,
2,309,三板,2,3.0
3,308,竞争力,2,
2,306,科陆,2,
2,305,亨通,2,
2,305,波动,2,
4,303,快速增长,3,1.0
4,303,公司股票,2,3.0
2,301,热点,3,
2,301,曙光,3,
2,300,电工,2,
